,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sancti spiritus,21.9297,-79.4425,85.73,42,0,7.14,CU,1615932484
1,bredasdorp,-34.5322,20.0403,60.8,94,16,2.3,ZA,1615932485
2,cape town,-33.9258,18.4232,66.2,68,20,21.85,ZA,1615932389
3,punta arenas,-53.15,-70.9167,50.0,66,75,23.02,CL,1615932484
4,albany,42.6001,-73.9662,33.01,27,99,5.23,US,1615932313
5,hilo,19.7297,-155.09,78.8,69,75,12.66,US,1615932113
6,hamilton,39.1834,-84.5333,55.4,71,90,5.75,US,1615932393
7,tizimin,21.15,-88.15,90.16,42,0,15.35,MX,1615932486
8,busselton,-33.65,115.3333,64.0,63,0,3.8,AU,1615932201
9,ponta delgada,37.7333,-25.6667,59.0,72,75,11.5,PT,1615932278
10,nelson bay,-32.7167,152.15,69.01,94,90,3.44,AU,1615932487
11,san quintin,30.4833,-115.95,58.3,55,0,20.83,MX,1615932487
12,puerto ayora,-0.7393,-90.3518,82.4,78,20,9.22,EC,1615932488
13,wierden,52.35,6.5833,39.99,94,100,1.01,NL,1615932488
14,gamba,-2.65,10.0,78.1,83,100,4.79,GA,1615932489
15,tuktoyaktuk,69.4541,-133.0374,-14.8,76,20,2.3,CA,1615932489
16,benavente,42.0025,-5.6783,48.99,75,0,5.75,ES,1615932489
17,komsomolskiy,40.4272,71.7189,35.6,80,100,2.48,UZ,1615932209
18,vila franca do campo,37.7167,-25.4333,59.0,72,75,11.5,PT,1615932216
19,roma,43.2128,-75.4557,46.4,25,90,9.22,US,1615932397
20,trojes,41.756,19.962,37.4,81,0,4.61,AL,1615932490
21,kashi,39.4547,75.9797,48.2,37,40,2.24,CN,1615932491
22,naantali,60.4674,22.0243,30.0,93,75,5.75,FI,1615932492
23,puerto del rosario,28.5004,-13.8627,64.4,82,20,14.97,ES,1615932492
24,pundaguitan,6.3711,126.1689,80.83,79,94,7.34,PH,1615932492
25,lavrentiya,65.5833,-171.0,3.42,93,100,5.44,RU,1615932333
26,raga,8.4596,25.678,77.22,61,70,5.46,SS,1615932493
27,sibu,2.3,111.8167,75.2,100,40,2.26,MY,1615932493
28,yellowknife,62.456,-114.3525,14.0,52,20,9.22,CA,1615932494
29,castro,-24.7911,-50.0119,68.22,83,9,3.29,BR,1615932494
30,lebu,-37.6167,-73.65,57.94,82,96,12.08,CL,1615932495
31,mahebourg,-20.4081,57.7,78.8,78,75,8.05,MU,1615932495
32,eganville,45.5334,-77.0994,39.99,48,1,8.05,CA,1615932495
33,price,39.5994,-110.8107,46.4,66,1,6.91,US,1615932496
34,saint george,37.1041,-113.5841,46.99,65,90,8.05,US,1615932331
35,hermanus,-34.4187,19.2345,62.01,87,20,1.99,ZA,1615932496
36,atuona,-9.8,-139.0333,80.4,66,1,11.36,PF,1615932497
37,menongue,-14.6585,17.691,63.57,94,100,3.11,AO,1615932497
38,oktyabrskoye,43.0645,44.7417,32.0,93,18,4.47,RU,1615932498
39,hithadhoo,-0.6,73.0833,82.06,71,72,6.67,MV,1615932498
40,new norfolk,-42.7826,147.0587,54.0,78,69,1.68,AU,1615932498
41,jamestown,42.097,-79.2353,41.0,60,75,6.46,US,1615932499
42,pevek,69.7008,170.3133,-4.94,95,100,9.13,RU,1615932499
43,ponta do sol,32.6667,-17.1,62.6,59,20,17.27,PT,1615932500
44,sao miguel do araguaia,-13.275,-50.1628,76.89,82,88,5.14,BR,1615932500
45,simpang,-1.2667,104.0833,73.76,97,70,1.34,ID,1615932501
